Título,Precio,Parqueos,Dormitorios,Baños,ID de la propiedad,Tamaño,Enlace
"Apartamento en Renta en Edificio Attica II, ...","$ 1,250 $",2,3,2.5,CAA13424,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-attica-ii-zona-14-ciudad-de-guatemala-caa13424/
Tiffany Cañada 3 habitaciones,"$ 3,565 mant incluido + iva",3,3,2.5,DAA43380,202 m2,https://mapainmueble.com/properties/tiffany-canada-3-habitaciones-daa43380/
LOFT EN RENTA EDIFICIO AOKI ZONA 14,"$ 1,500",2,2,2,DAA43379,105 m2,https://mapainmueble.com/properties/loft-en-renta-edificio-aoki-zona-14-daa43379/
Apartamento en renta zona 14 / Attica II,"$ 1,475",2,3,2.5,DAA43361,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-attica-ii-daa43361/
"Hermoso apartamento en alquiler, Pacifica Pl...","$ 1,100",2,2,2,CAA13423,N/A,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-pacifica-plaza-zona-14-caa13423/
"Apartamento en renta RIALTO, zona 14 (D)","$ 1,500 Mant. Incluido + iva",2,1,1.5,DAA42654,86 m2,https://mapainmueble.com/properties/apartamento-en-renta-rialto-zona-14-d-daa42654/
"Zona 14, alquilo apartamento de 3 habitacion...","$ 1,480 mas IVA",2,3,2.5,DAA43353,139 m2,https://mapainmueble.com/properties/zona-14-alquilo-apartamento-de-3-habitaciones-daa43353/
Apartamento en alquiler en exclusivo sector ...,"$ 3,900",4,3,3.5,DAA43351,415 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-en-exclusivo-sector-zona-14-daa43351/
"RENTO APARTAMENTO ZONA 14, SANTA INES","$ 3,200",3,3,3,CAA13416,250 m2,https://mapainmueble.com/properties/rento-apartamento-zona-14-santa-ines-caa13416/
"Apartamento en Edificio Atenas, Zona 14","$ 2,800",2,2,2.5,DAA43321,240 m2,https://mapainmueble.com/properties/apartamento-en-edificio-atenas-zona-14-daa43321/
Zona 14 • Apartamento en renta • Edificio Be...,"$ 1,100 3 habitaciones",2,3,2,DAA43317,96 m2,https://mapainmueble.com/properties/zona-14-apartamento-en-renta-edificio-be14-amueblado-y-equipado-daa43317/
Apartamento en renta en Zona 14 Edificio San...,$ 800,1,2,2,CAA13410,N/A,https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-edificio-santorini-europlaa-caa13410/
APARTAMENTO EN RENTA AREA DEL CC. LA NORIA,"$ 1,250",2,3,2.5,DAA43291,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-area-del-cc-la-noria-daa43291/
Apartamento en Renta zona 14/ Santa Inés del...,"$ 2,200",2,2,2.5,DAA43276,153 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43276/
Exclusivo  apartamento  en renta zona 14,"$ 3,200 Más iva más mantenimiento",3,3,2.5,CAA13397,203 m2,https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-zona-14-caa13397/
Attica 1 zona 14  2 habitaciones,"$ 1,150 mant incluido + iva",2,2,2.5,DAA43265,139 m2,https://mapainmueble.com/properties/attica-1-zona-14-3-habitaciones-daa43265/
"APARTAMENTO EN RENTA EN ZONA 14, EDIFICIO AT...","$ 1,250",2,3,2,DAA43260,136 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-edificio-attica-2-daa43260/
Se renta hermoso depto en Zona 14!!,"$ 1,625",2,3,2.5,DAA43252,139 m2,https://mapainmueble.com/properties/se-renta-hermoso-depto-en-zona-14-daa43252/
Apto tipo loft zona 14 Edificio Torreón,$ 865,1,1,1,DAA43246,100 m2,https://mapainmueble.com/properties/apto-tipo-loft-zona-14-edificio-torreon-daa43246/
Apartamento amueblado en renta zona 14,"$ 1,150",2,2,2,DAA43241,104 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43241/
Rento Apartamento amplio en Reserva 5ta. zon...,"$ 2,250",2,3,2,DAA43234,121 m2,https://mapainmueble.com/properties/rento-apartamento-amplio-en-reserva-5ta-zona-14-daa43234/
Rento Apartamento amplio en Reserva 5ta. zon...,"$ 2,250",2,3,2,DAA43234,121 m2,https://mapainmueble.com/properties/rento-apartamento-amplio-en-reserva-5ta-zona-14-daa43234-2/
ALQUILO APARTAMENTO AMUEBLADO EN ZONA 14 CON...,"$ 1,250",1,2,2,DAA43225,N/A,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-en-zona-14-con-dos-dormitorios-daa43225/
Apartamento en Alquiler 3 habitaciones Zona ...,"$ 1,635",2,3,2.5,DAA43209,139 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-3-habitaciones-zona-14-daa43209/
APARTAMENTO AMUEBLADO EN RENTA ATTICA ZONA 1...,"$ 1,650",3,3,3,DAA43189,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-attica-zona-14-daa43189/
"ALQUILO APARTAMENTO AMUEBLADO, ZONA 14","$ 1,350 Disponible",2,3,2.5,DAA43164,120 m2,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-zona-14-daa43164/
ALQUILO APARTAMENTO EN ZONA 14  PACIFICA PLA...,"$ 2,000",2,4,3.5,DAA43157,249 m2,https://mapainmueble.com/properties/alquilo-apartamento-en-zona-14-pacifica-plaza-daa43157/
ALQUILO APARTAMENTO EN ZONA 14  PACIFICA PLA...,"$ 2,000",2,4,3.5,DAA43157,249 m2,https://mapainmueble.com/properties/alquilo-apartamento-en-zona-14-pacifica-plaza-daa43157/
Alquilo apartamento amueblado Z. 14,"$ 1,600 Más IVA si se requiere",2,2,3,CAA13368,165 m2,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-z-14-caa13368/
APARTAMENTO AVENIDA LAS AMERICAS ZONA 14 DE ...,$ 875,1,1,1,DAA43152,100 m2,https://mapainmueble.com/properties/apartamento-avenida-las-americas-zona-14-de-1-hab-agt1850-daa43152/
MARQUÉS ZONA 14 APTO AMUEBLADO RENTA,"$ 1,700 USD",2,2,2.5,DAA43140,125 m2,https://mapainmueble.com/properties/marques-zona-14-apto-amueblado-renta-daa43140/
Apartamento en renta zona 14 / Reserva 14,"$ 2,200",2,3,2.5,DAA43102,125 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-reserva-14-daa43102/
Apartamento amueblado en zona 14,"$ 2,000",2,3,3,DAA43092,248 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-daa43092/
Apartamento amueblado en renta en zona 14,"$ 1,500",1,1,1.5,DAA43064,96 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-daa43064/
Se Alquila Apto. Amueblado Marques del Valle...,"$ 1,700",2,2,2.5,DAA43055,N/A,https://mapainmueble.com/properties/se-alquila-apto-amueblado-marques-del-valle-zona-14-daa43055/
"Apartamento en Alquiler Zona 14, 3 Habitacio...","$ 5,600 dls",3,3,3.5,DAA43053,304 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-3-habitaciones-daa43053/
"Apartamento en Alquiler Zona 14, 3 Habitacio...","$ 1,950 dls",2,3,3,DAA43051,125 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-3-habitaciones-daa43051/
"Apartamento en Alquiler Zona 14, 3 Habitacio...","$ 1,635 dls",2,3,2.5,DAA43050,139 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-3-habitaciones-daa43050/
Apartamento en Alquiler Edificio Vila Catorc...,$ 770,2,1,1.5,DAA32335,55 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-vila-catorce-zona-14-n1-en-directo-01-DAA32335/
Apartamento en Alquiler Edificio Vila Catorc...,$ 700,1,1,1,DAA43043,36 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-vila-catorce-zona-14-n7-en-directo-h-daa43043/
"Apartamento en Alquiler Edificio Attica II, ...","$ 1,500",2,2,2.5,DAA35862,193 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-attica-ii-zona-14-n7-en-directo-02-daa35862/
Apartamento en Renta Zona 14 codigo.CA34555,$ 950,1,1,1,CAA13316,64 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoca34555-caa13316/
"Apartamento en Alquiler  Edificio Attica II,...","$ 1,500",2,2,2.5,DAA42995,193 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-attica-ii-zona-14-daa42995/
Apartamento en Alquiler Vistana Zona 14,"$ 2,200",2,3,3.5,DAA42993,169 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-vistana-zona-14-daa42993/
Apartamento en Alquiler en Santa Inés del Pa...,"$ 2,200 + IVA",2,2,2.5,DAA42992,151 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-en-santa-ines-del-parque-daa42992/
APARTAMENTO EN ALQUILER AMUEBLADO EN ZONA 14,$ 900,N/A,1,1,CAA13289,N/A,https://mapainmueble.com/properties/apartamento-en-alquiler-en-zona-14-caa13289/
Apartamento en renta zona 14 / Attica II,"$ 1,475",2,3,2.5,DAA42926,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-attica-ii-daa42926/
APARTAMENTO DE LUJO EN RENTA ZONA 14 DE LADO...,"$ 3,900",2,3,3.5,DAA42919,406 m2,https://mapainmueble.com/properties/apartamento-de-lujo-en-renta-zona-14-de-lado-de-las-americas-daa42919/
Rento apartamento Amueblado en Pacifica Plaz...,"$ 1,100",2,2,2,CAA13272,107 m2,https://mapainmueble.com/properties/rento-apartamento-amueblado-en-pacifica-plaza-zona-14-ref-l4553-caa13272/
APARTAMENTO EN LA VILLA A MINS DEL OBELISCO ...,$ 776,1,1,1,DAA42887,36 m2,https://mapainmueble.com/properties/apartamento-en-la-villa-a-mins-del-obelisco-zona-14-de-1-hab-agt2024-daa42887/
¡ VENDO ESPECTACULAR APARTAMENTO ¡ EN  ZONA ...,"$ 800",2,3,2.5,DAA42865,265 m2,https://mapainmueble.com/properties/vendo-espectacular-apartamento-en-zona-14-daa42865/
APARTAMENTO EN RENTA ZONA 14,"$ 3,200",2,3,3.5,DAA42857,406 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa42857/
Se Renta Apartamento en Condado La Villa Zon...,"$ 1,300",2,3,2,DAA42835,115 m2,https://mapainmueble.com/properties/se-renta-apartamento-en-condado-la-villa-zona-14-daa42835/
*APARTAMENTO EN ALQUILER- Edificio Attica II...,"$ 9,750",2,3,2.5,DAA42827,139 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-attica-ii-zona-14-daa42827/
APARTAMENTO EN RENTA ZONA 14,"$ 2,000",2,4,3.5,DAA42826,249 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa42826/
APARTAMENTO EN RENTA EN ZONA 14,$ 625 + Mantenimiento,1,1,1.5,DAA38076,70 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-DAA38076/
"Apartamento en Marques del Valle, Zona 14","$ 3,800",4,3,4,DAA42747,415 m2,https://mapainmueble.com/properties/apartamento-en-marques-del-valle-zona-14-daa42747/
Apartamento en renta TIFFANY CAÑADA Zona 14 ...,"$ 3,200 + IVA",3,3,2.5,CAA13261,203 m2,https://mapainmueble.com/properties/apartamento-en-renta-tiffany-canada-zona-14-1-caa13261/
Apartamento en renta TIFFANY CAÑADA Zona 14 ...,"$ 3,200 + IVA",3,3,2.5,CAA13260,N/A,https://mapainmueble.com/properties/apartamento-en-renta-tiffany-canada-zona-14-1-caa13260/
Apartamento de 1 Habitación en Renta en Be14...,$ 760,1,1,1,DAA42791,41 m2,https://mapainmueble.com/properties/apartamento-de-1-habitacion-en-renta-en-be14-zona-14-daa42791/
Townhouse en renta zona 14 La Cañada,"$ 5,000 Mas iva mas mto",4,4,4.5,CAA13245,350 m2,https://mapainmueble.com/properties/townhouse-en-renta-zona-14-la-canada-caa13245/
Apartamento en Renta Zona 14 codigo.DA34512,$ 625 IVA INCLUIDO,1,1,1,DAA42774,N/A,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoda34512-daa42774/
Apartamento en Renta Zona 14 codigo.DA34512,$ 625 IVA INCLUIDO,1,1,1,DAA42774,N/A,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoda34512-daa42774/
Rento Apartamento amueblado en zona 14 Ref-L...,"$ 1,600",2,3,2,CAA13229,125 m2,https://mapainmueble.com/properties/rento-apartamento-amueblado-en-zona-14-ref-l4518-caa13229/
Lindo Apartamento en Renta en Zona 14,"$ 1,591 $",2,3,2,DAA42751,139 m2,https://mapainmueble.com/properties/lindo-apartamento-en-renta-en-zona-14-daa42751/
"Apartamento en Renta, Zona 14","$ 1,650",2,3,2,DAA42736,N/A,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa42736/
Alquilo apartamento Zona 14 Piemonte con dor...,"$ 1,000",2,2,2,DAA42723,150 m2,https://mapainmueble.com/properties/alquilo-apartamento-zona-14-piemonte-con-dormitorio-de-servicio-daa42723/
APARTAMENTO EN RENTA ZONA 14,"$ 1,700",2,2,2.5,DAA42715,200 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa42715/
Apartamento de 4 Habitaciones en Renta en Pa...,"$ 2,000",2,4,3,DAA42698,244 m2,https://mapainmueble.com/properties/apartamento-de-4-habitaciones-en-renta-en-pacifica-plaza-zona-14-daa42698/
Apartamento Amueblado en Renta en zona 14 Se...,"$ 1,400",2,3,2,DAA42676,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-en-zona-14-sector-la-villa-daa42676/
Apartamento en Alquiler 2 niveles en Avita z...,"$ 7,500",4,4,4,DAA42674,809 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-2-niveles-en-avita-zona-14-daa42674/
Apartamento amueblado en zona 14 código 2196,"$ 1,900 Inlcuye mantenimiento",2,2,2,DAA42665,162 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-codigo-2196-daa42665/
